ANO DE REFERENCIA;TOTAL;DESPESAS CORRENTES;PESSOAL E ENCARGOS SOCIAIS;JUROS E ENCARGOS DA DIVIDA;OUTRAS DESPESAS CORRENTES;TRANSFERENCIAS A ESTADOS, DF E MUNICIPIOS;BENEFICIOS PREVIDENCIARIOS;DEMAIS DESPESAS CORRENTES;DESPESAS DE CAPITAL;INVESTIMENTOS;INVERSOES FINANCEIRAS;AMORTIZACAO DA DIVIDA;REFINANCIAMENTO;REFINANCIAMENTO DA DIVIDA MOBILIARIA;REFINANCIAMENTO DA DIVIDA CONTRATUAL;OUTRAS DESPESAS DE CAPITAL
1980;1.190.994.078.425,25;784.084.071.152,78;126.650.181.258,30;61.537.454.575,03;595.896.435.319,45;113.733.245.962,32;91.717.416.968,64;390.445.772.388,49;406.910.007.272,47;92.276.041.233,37;13.070.182.632,87;34.348.840.447,13;#N/D;#N/D;#N/D;267.214.942.959,10
1981;2.254.895.881.199,71;1.399.089.777.357,89;304.933.273.819,12;57.082.709.220,84;1.037.073.794.317,93;220.979.634.419,50;185.733.138.005,32;630.361.021.893,11;855.806.103.841,82;361.239.133.688,42;37.994.149.426,38;25.460.719.968,90;#N/D;#N/D;#N/D;431.112.100.758,12
1982;4.619.772.086.344,00;3.521.783.953.808,00;523.860.864.136,00;161.491.399.028,00;2.836.431.690.644,00;907.286.011.684,00;416.267.974.346,00;1.512.877.704.614,00;1.097.988.132.536,00;472.500.651.568,00;192.781.570.564,00;85.176.347.996,00;#N/D;#N/D;#N/D;347.529.562.408,00
1983;11.104.585.323.599,00;8.537.106.422.519,00;1.126.115.006.441,00;498.252.159.162,00;6.912.739.256.916,00;2.054.745.931.303,00;881.606.575.769,00;3.976.386.749.844,00;2.567.478.901.080,00;820.077.645.331,00;359.389.885.628,00;471.978.819.637,00;#N/D;#N/D;#N/D;916.032.550.484,00
1984;33.817.215.546.069,00;27.008.994.019.156,00;3.062.917.355.267,00;1.035.648.823.155,37;22.910.427.840.733,60;6.832.929.188.218,00;2.530.230.355.352,00;13.547.268.297.163,60;6.808.221.526.913,00;1.883.172.847.402,00;1.197.487.491.878,00;870.456.007.451,00;#N/D;#N/D;#N/D;2.857.105.180.182,00
1985;130.425.844.256.952,00;105.036.578.037.773,00;13.831.265.939.170,00;10.787.181.907.017,00;80.418.130.191.586,00;32.427.186.516.538,00;10.910.245.687.734,00;37.080.697.987.314,00;25.389.266.219.179,00;8.829.445.604.994,00;6.171.618.105.470,00;2.608.420.158.756,00;#N/D;#N/D;#N/D;7.779.782.349.959,00
1986;548.108.711.199,60;363.373.391.217,47;34.903.124.581,54;85.626.978.680,47;242.843.287.955,46;98.292.144.945,82;28.683.688.096,36;115.867.454.913,28;184.735.319.982,13;44.556.940.582,26;75.299.507.964,20;22.132.560.660,44;#N/D;#N/D;#N/D;42.746.310.775,23
1987;1.615.099.597.723,93;1.076.785.656.907,95;117.086.240.355,23;79.009.840.614,79;880.689.575.937,93;315.371.319.554,41;99.641.765.434,19;465.676.490.949,33;538.313.940.815,98;171.454.802.157,22;86.284.117.039,94;104.151.592.782,55;#N/D;#N/D;#N/D;176.423.428.836,27
1988;15.857.926.137.634,50;10.319.273.331.399,00;1.168.161.295.038,72;2.370.153.409.613,34;6.780.958.626.746,91;2.306.535.099.348,47;892.092.718.187,65;3.582.330.809.210,79;5.538.652.806.235,57;1.167.972.935.802,55;398.596.996.776,65;771.923.082.742,01;#N/D;#N/D;#N/D;3.200.159.790.914,36
1989;529.882.014.252,86;224.924.765.811,32;25.282.017.679,80;78.923.131.675,60;120.719.616.455,92;31.647.292.921,04;18.708.997.639,01;70.363.325.895,87;304.957.248.441,54;7.901.920.501,64;8.258.073.127,61;256.503.450.138,88;#N/D;#N/D;#N/D;32.293.804.673,41
